feature,bin,churn_rate,correlation
chat_views,"(6.0, 7.0]",0.6359918200408998,-0.34535072134463973
chat_views,"(7.0, 26.0]",0.382842509603073,-0.34535072134463973
messages_sent,"(-0.001, 7.0]",0.9461321641089884,-0.45281483976477754
messages_sent,"(7.0, 10.0]",0.8087912087912088,-0.45281483976477754
messages_sent,"(10.0, 13.0]",0.8024800708591674,-0.45281483976477754
messages_sent,"(13.0, 16.0]",0.7736943907156673,-0.45281483976477754
messages_sent,"(16.0, 19.0]",0.751311647429171,-0.45281483976477754
messages_sent,"(19.0, 23.0]",0.7433888344760039,-0.45281483976477754
messages_sent,"(23.0, 30.0]",0.5953346855983773,-0.45281483976477754
messages_sent,"(30.0, 134.0]",0.28931451612903225,-0.45281483976477754
messages_received,"(-0.001, 3.0]",0.9824029126213593,-0.6548920171984354
messages_received,"(3.0, 5.0]",0.94067067927773,-0.6548920171984354
messages_received,"(5.0, 7.0]",0.9053497942386831,-0.6548920171984354
messages_received,"(7.0, 8.0]",0.8752260397830018,-0.6548920171984354
messages_received,"(8.0, 11.0]",0.7987271280827367,-0.6548920171984354
messages_received,"(11.0, 14.0]",0.6679197994987469,-0.6548920171984354
messages_received,"(14.0, 22.0]",0.33604060913705586,-0.6548920171984354
messages_received,"(22.0, 122.0]",0.029442691903259727,-0.6548920171984354
answer_errors,"(-0.001, 1.0]",0.7413275061458617,0.22374548271661657
answer_errors,"(1.0, 2.0]",0.358356940509915,0.22374548271661657
answer_errors,"(2.0, 4.0]",0.5973106864826611,0.22374548271661657
answer_errors,"(4.0, 5.0]",0.7917282127031019,0.22374548271661657
answer_errors,"(5.0, 7.0]",0.871900826446281,0.22374548271661657
answer_errors,"(7.0, 9.0]",0.9158679446219382,0.22374548271661657
answer_errors,"(9.0, 11.0]",0.9462875197472354,0.22374548271661657
answer_errors,"(11.0, 45.0]",0.9713993871297242,0.22374548271661657
likes,"(-0.001, 1.0]",0.9643721895537876,-0.6695885929845834
likes,"(1.0, 2.0]",0.8483985765124555,-0.6695885929845834
likes,"(2.0, 4.0]",0.641635687732342,-0.6695885929845834
likes,"(4.0, 7.0]",0.2222222222222222,-0.6695885929845834
likes,"(7.0, 47.0]",0.011943539630836048,-0.6695885929845834
dislikes,"(-0.001, 1.0]",0.8753623188405797,-0.4102132664337506
dislikes,"(1.0, 2.0]",0.7456896551724138,-0.4102132664337506
dislikes,"(2.0, 3.0]",0.7103684661525278,-0.4102132664337506
dislikes,"(3.0, 5.0]",0.654288240495137,-0.4102132664337506
dislikes,"(5.0, 31.0]",0.25773195876288657,-0.4102132664337506
successful_purchase,"(-0.001, 1.0]",0.7645331767469172,-0.3202009541816165
model_changes,"(-0.001, 1.0]",0.7645331767469172,-0.40493995981430997
is_advanced,"(-0.001, 1.0]",0.7645331767469172,-0.40493995981430997
time_to_first_message_sec,"(269.999, 337.0]",0.6925972396486826,0.001208256333144208
time_to_first_message_sec,"(337.0, 349.0]",0.7130750605326877,0.001208256333144208
time_to_first_message_sec,"(349.0, 357.0]",0.6631716906946264,0.001208256333144208
time_to_first_message_sec,"(357.0, 363.0]",0.6627565982404692,0.001208256333144208
time_to_first_message_sec,"(363.0, 370.0]",0.688295165394402,0.001208256333144208
time_to_first_message_sec,"(370.0, 377.0]",0.656590084643289,0.001208256333144208
time_to_first_message_sec,"(377.0, 384.0]",0.6936572199730094,0.001208256333144208
time_to_first_message_sec,"(384.0, 392.0]",0.7162534435261708,0.001208256333144208
time_to_first_message_sec,"(392.0, 404.0]",0.6922077922077922,0.001208256333144208
time_to_first_message_sec,"(404.0, 475.0]",0.6818181818181818,0.001208256333144208
error_rate,"(-0.001, 0.0346]",0.8408349641226354,0.3728067196837226
error_rate,"(0.0346, 0.118]",0.02330097087378641,0.3728067196837226
error_rate,"(0.118, 0.25]",0.29642857142857143,0.3728067196837226
error_rate,"(0.25, 0.364]",0.8888888888888888,0.3728067196837226
error_rate,"(0.364, 0.444]",0.99,0.3728067196837226
error_rate,"(0.444, 0.5]",0.9906890130353817,0.3728067196837226
error_rate,"(0.5, 0.579]",1.0,0.3728067196837226
error_rate,"(0.579, 0.833]",0.998992950654582,0.3728067196837226
like_dislike_ratio,"(-0.001, 0.167]",0.9772893772893773,-0.15351038996111105
like_dislike_ratio,"(0.167, 0.5]",0.8243440233236151,-0.15351038996111105
like_dislike_ratio,"(0.5, 1.0]",0.7216624685138538,-0.15351038996111105
like_dislike_ratio,"(1.0, 1.333]",0.3615819209039548,-0.15351038996111105
like_dislike_ratio,"(1.333, 2.5]",0.5667351129363449,-0.15351038996111105
like_dislike_ratio,"(2.5, 8.5]",0.2691532258064516,-0.15351038996111105
like_dislike_ratio,"(8.5, 27.0]",0.6372549019607843,-0.15351038996111105
